epoch,train_loss,eval_loss,eval_top1,eval_top5
0,1.7264034453138197,1.7283148463069185,39.624603166324164,94.23934851472066
1,1.6120998764563366,1.4542258396863434,48.18960391391882,95.1597592397484
2,1.5818622284515478,1.2253502277016275,68.18758714693539,95.20183317164425
3,1.5308655719377977,0.9700519812488064,76.59750546787255,97.21860015508243
4,1.4620756939280692,0.7630380194198663,81.36020501479543,98.89668937268115
5,1.3964333305558387,0.6337175478063986,83.80849058900027,99.47181568140645
6,1.3400378144031453,0.5660171009404901,85.71885572813981,99.69678951559344
7,1.2992701720439301,0.5257013397033184,87.04192441296433,99.77224441824966
8,1.266515935589504,0.4973358827855952,87.87957814798202,99.82092500060851
9,1.2436151384770093,0.48293546680097754,88.51033940797457,99.84317898111541
10,1.2216836294283442,0.4707262214389135,88.85910100873122,99.88420975767501
11,1.204197312324586,0.4681116563558576,89.0364374158956,99.8720396120853
12,1.1896724005297028,0.4606217524519109,89.14492557086676,99.89950936927352
13,1.1820842368266893,0.45856683040038365,89.19047668721683,99.90055252460978
14,1.171528042085685,0.45722527385938944,89.29653081307004,99.91863388377163
15,1.1583216210334575,0.45284456473022033,89.3386047449659,99.91863388377163
16,1.1496200490126531,0.44889291125657477,89.54688809377271,99.9196770391079
17,1.1424320651079638,0.44644729459021154,89.53019760839253,99.92037247599873
18,1.1362867511968877,0.44685935130587773,89.44639746304622,99.92350194200752
19,1.1281476549143465,0.44620204258829926,89.67797794769619,99.92245878667126
20,1.1223059447294244,0.446026140742813,89.5246341132658,99.93115174780677
21,1.1137715971707316,0.4386050143675678,89.77846857842268,99.92593597112545
22,1.1146401784484214,0.444429173793825,89.67102357878778,99.9266314080163
