epoch,train_loss,eval_loss,eval_top1,eval_top5
0,1.4809482938004537,1.9491143187570374,6.5031374786081,49.18099584852257
1,1.2081886603066567,1.9447367277387089,23.217341699942956,74.4030641396154
2,1.1808214309010119,1.9379915043404434,38.67655447803765,83.67696194590066
3,1.164899014150505,1.928280599260474,38.99437698639068,91.97294434964068
4,1.1353938115794726,1.9121935211663024,39.1166164126803,92.96715835012965
5,1.1193358392379302,1.8852295422746368,39.43443892103333,92.42115557936933
6,1.088372477507778,1.8498217834546955,41.77328661226253,92.22557249730592
7,1.068402995328679,1.8083578975244758,45.98647217326599,92.24187108747786
8,1.0418212449581754,1.7580418423815156,49.46622117497734,92.29076685799372
9,1.0144819752665786,1.700629901413851,52.89707440617284,92.56784289091686
10,0.9886058565841954,1.63768004488026,54.958846069141956,93.65169913735156
11,0.9740158023784429,1.5708380149518468,56.393122004273565,94.80074974447403
12,0.9462047620790746,1.492947473705529,58.210414808446004,95.7297693842752
13,0.9399117053955716,1.4089791584729896,61.00562302293545,96.79732704053792
14,0.9183268184450214,1.322933216412059,64.24904246093611,97.48186782775983
15,0.9055650797587462,1.2389740825292,68.91858854519982,98.01972130343418
16,0.8898802457216826,1.1553014948843898,73.98745008867631,98.45163394299087
17,0.8772726279948461,1.0687509010613534,78.6325482876821,98.81020292677377
18,0.8656836234558345,0.9847742965912899,81.22402412502217,98.92429305797742
19,0.8599858782776965,0.9065495205628883,83.28579578177386,99.03838318918108
20,0.8412376372994704,0.8303173964000857,84.2881590773488,99.1606226154707
21,0.8398552625671069,0.7592502951903736,85.32311955326762,99.25026486141643
22,0.8279551063754229,0.6967605383877415,86.26843778324073,99.3562056975341
23,0.8234428473147649,0.639574743800637,86.97742645572056,99.4539972385658
24,0.8174491884969856,0.5926995206535927,87.65381795096519,99.52734089433957
25,0.7834795171847231,0.5475269800322086,88.34650803327308,99.64143102554323
26,0.7875395175993598,0.5097092584306187,89.07179529903357,99.73922256657492
27,0.7756375728792684,0.47802908285431034,89.62594736487988,99.7473718616609
28,0.7678204016959387,0.44944214855834796,90.31048815210178,99.76367045183285
29,0.750363014463345,0.42496383323732384,91.01132752949563,99.79626763217675
30,0.7524501507805159,0.40390538746721344,91.48398664448219,99.86961128795053
31,0.7362581303163235,0.38643879410437737,91.76106267740533,99.88590987812248
32,0.7287276763050736,0.37216352471686664,92.04628800541447,99.89405917320845
33,0.7406001914263394,0.35862965863487967,92.44560346462724,99.91850705846637
34,0.7286542724069043,0.34741254935452276,92.60858936634675,99.9429549437243
35,0.7082179429170046,0.3372810209655264,92.77972456004352,99.9429549437243
36,0.7406359376390671,0.329179559066004,92.99975552736484,99.95110423881027
37,0.7145586903972975,0.3221757939757349,93.09754706839654,99.9429549437243
38,0.7260135216516863,0.31526433958633054,93.1138456585685,99.9429549437243
39,0.7233732519355206,0.30910931755303267,93.16274142908433,99.95925353389626
40,0.6871822285745536,0.3030321671520524,93.21163719960019,99.96740282898223
41,0.6863362537040412,0.2983570938544211,93.25238367503006,99.9755521240682
42,0.6840452609423247,0.29250043247840135,93.4398174620075,99.9755521240682
43,0.6908473501628746,0.28934810540658823,93.54575829812516,99.9755521240682
44,0.6879753532282055,0.2856441385714332,93.65984842622011,99.9755521240682
45,0.6723775368757721,0.281501568981968,93.65984842622011,99.9755521240682
46,0.6807240330208064,0.2773573479610826,93.65984842622011,99.9755521240682
47,0.6761337046368003,0.2726563555562266,93.80653573776766,99.98370141915417
48,0.6781809820985669,0.26827751392962035,93.91247657388534,99.99185071424016
49,0.6614172588596144,0.2641454402270211,94.0591638854329,99.99185071424016
50,0.6654378065241223,0.2608316234959511,94.25474696749629,99.99185071424016
51,0.6482784793597911,0.2547685987910415,94.39328498395787,99.99185071424016
52,0.6518813621826645,0.24975597821634465,94.62961454145115,99.99185071424016
53,0.6412157125712686,0.24551147845475135,94.63776383653712,100.00000000932613
54,0.6401726929543846,0.24096762282204176,94.76815255791271,99.99185071424016
55,0.648998587856716,0.23770063331789515,94.80074973825661,99.99185071424016
56,0.6359355158656447,0.23345812664459625,95.02893000066392,99.99185071424016
57,0.6346700301602989,0.22894848873498008,95.17561731221147,99.99185071424016
58,0.6145577580903903,0.22391710581690397,95.28970744341512,99.99185071424016
59,0.613579078925185,0.21915866922920796,95.34675250901695,99.99185071424016
60,0.6294756858918437,0.21438014476206607,95.46899193530658,99.99185071424016
61,0.6104845134614342,0.20975120143091927,95.64012713211206,99.99185071424016
62,0.609658628818883,0.2054748715992667,95.81941162400351,99.99185071424016
63,0.6231761216416994,0.200448630965846,96.04759189262822,99.99185071424016
64,0.6118396982822966,0.1961599147336916,96.21057779434773,99.99185071424016
